,ROUGE-1 F1,chapter-title,source
145,0.27097830536225953,Sense and Sensibility.chapter 44,shmoop
146,0.4399323181049069,Sense and Sensibility.chapter 45,shmoop
147,0.3414043583535109,Sense and Sensibility.chapter 46,shmoop
148,0.4261744966442953,Sense and Sensibility.chapter 47,shmoop
149,0.4025157232704402,Sense and Sensibility.chapter 48,shmoop
150,0.2684277801448658,Sense and Sensibility.chapter 49,shmoop
151,0.4576163161249203,Sense and Sensibility.chapter 50,shmoop
152,0.4334277620396601,Sense and Sensibility.chapter 1,cliffnotes
153,0.43902439024390244,Sense and Sensibility.chapter 2,cliffnotes
154,0.4637096774193548,Sense and Sensibility.chapter 3,cliffnotes
155,0.4783393501805054,Sense and Sensibility.chapter 4,cliffnotes
156,0.45735294117647063,Sense and Sensibility.chapter 9,cliffnotes
157,0.39823008849557523,Sense and Sensibility.chapter 10,cliffnotes
158,0.44471445929526127,Sense and Sensibility.chapter 15,cliffnotes
159,0.34619002822201317,Sense and Sensibility.chapter 18,cliffnotes
160,0.3843514070006863,Sense and Sensibility.chapter 19,cliffnotes
161,0.3653679653679654,Sense and Sensibility.chapter 22,cliffnotes
162,0.3677950594693504,Sense and Sensibility.chapter 29,cliffnotes
163,0.3756345177664975,Sense and Sensibility.chapter 30,cliffnotes
164,0.45684310920362425,Sense and Sensibility.chapter 31,cliffnotes
165,0.3608768971332209,Sense and Sensibility.chapter 34,cliffnotes
166,0.3068450039339103,Sense and Sensibility.chapter 37,cliffnotes
167,0.3802672147995889,Sense and Sensibility.chapter 38,cliffnotes
168,0.3988183161004431,Sense and Sensibility.chapter 39,cliffnotes
169,0.2984165651644336,Sense and Sensibility.chapter 44,cliffnotes
170,0.2760898282694848,Sense and Sensibility.chapter 49,cliffnotes
171,0.4459561602418745,Sense and Sensibility.chapter 50,cliffnotes
172,0.5207823960880196,Far from the Madding Crowd.chapters 1-4,gradesaver
173,0.5207823960880196,Far from the Madding Crowd.chapters 1-4,sparknotes
174,0.15026833631484793,Tess of the D'Urbervilles.chapter 1,gradesaver
175,0.27272727272727276,Tess of the D'Urbervilles.chapter 2,gradesaver
176,0.26666666666666666,Tess of the D'Urbervilles.chapter 3,gradesaver
177,0.28218181818181814,Tess of the D'Urbervilles.chapter 4,gradesaver
178,0.23202846975088967,Tess of the D'Urbervilles.chapter 5,gradesaver
179,0.32679738562091504,Tess of the D'Urbervilles.chapter 6,gradesaver
180,0.32242990654205606,Tess of the D'Urbervilles.chapter 7,gradesaver
181,0.28825622775800713,Tess of the D'Urbervilles.chapter 8,gradesaver
182,0.4600389863547758,Tess of the D'Urbervilles.chapter 9,gradesaver
183,0.47507331378299117,Tess of the D'Urbervilles.chapter 10,gradesaver
184,0.4271186440677966,Tess of the D'Urbervilles.chapter 11,gradesaver
185,0.40840336134453786,Tess of the D'Urbervilles.chapter 12,gradesaver
186,0.34875444839857656,Tess of the D'Urbervilles.chapter 13,gradesaver
187,0.36347197106690776,Tess of the D'Urbervilles.chapter 14,gradesaver
